English,Vietnamese,IPA,POS,Example_EN,Example_VI,Image
expensive,đắt,/ɪkˈspensɪv/,adj,That car is expensive.,Chiếc xe đó đắt.,
buy,mua,/baɪ/,verb,I want to buy a book.,Tôi muốn mua một cuốn sách.,
sell,bán,/sel/,verb,They sell fruits here.,Họ bán hoa quả ở đây.,
customer,khách hàng,/ˈkʌstəmər/,noun,The customer is waiting.,Khách hàng đang chờ.,
street,đường phố,/striːt/,noun,This is a busy street.,Đây là một con phố nhộn nhịp.,
road,con đường,/roʊd/,noun,The road is long.,Con đường dài.,
hospital,bệnh viện,/ˈhɒspɪtl/,noun,She works in a hospital.,Cô ấy làm việc trong bệnh viện.,
doctor,bác sĩ,/ˈdɒktər/,noun,The doctor is kind.,Bác sĩ rất tốt bụng.,
nurse,y tá,/nɜːrs/,noun,The nurse takes care of patients.,Y tá chăm sóc bệnh nhân.,
patient,bệnh nhân,/ˈpeɪʃnt/,noun,The patient feels better.,Bệnh nhân cảm thấy khỏe hơn.,
medicine,thuốc,/ˈmedɪsn/,noun,Take your medicine twice a day.,Uống thuốc của bạn 2 lần mỗi ngày.,
schoolbag,cặp sách,/ˈskuːlbæɡ/,noun,His schoolbag is red.,Cặp sách của anh ấy màu đỏ.,
blackboard,bảng đen,/ˈblækbɔːrd/,noun,The teacher writes on the blackboard.,Giáo viên viết trên bảng đen.,
eraser,cục tẩy,/ɪˈreɪsər/,noun,Use an eraser to correct it.,Dùng cục tẩy để sửa.,
ruler,thước kẻ,/ˈruːlər/,noun,The ruler is 30 cm long.,Cái thước dài 30 cm.,
notebook,vở,/ˈnoʊtbʊk/,noun,I write notes in my notebook.,Tôi ghi chép vào vở.,
backpack,ba lô,/ˈbækpæk/,noun,His backpack is heavy.,Ba lô của anh ấy nặng.,
library,thư viện,/ˈlaɪbreri/,noun,The library is quiet.,Thư viện rất yên tĩnh.,
university,trường đại học,/ˌjuːnɪˈvɜːrsəti/,noun,She studies at a university.,Cô ấy học ở trường đại học.,
student,"sinh viên, học sinh",/ˈstuːdənt/,noun,The students are in class.,Học sinh đang trong lớp.,
teacher,giáo viên,/ˈtiːtʃər/,noun,The teacher is writing.,Giáo viên đang viết.,
lesson,bài học,/ˈlesn/,noun,Today’s lesson is English.,Bài học hôm nay là tiếng Anh.,
exam,kỳ thi,/ɪɡˈzæm/,noun,The exam is difficult.,Kỳ thi rất khó.,
question,câu hỏi,/ˈkwestʃən/,noun,I have a question.,Tôi có một câu hỏi.,
answer,câu trả lời,/ˈænsər/,noun,His answer is correct.,Câu trả lời của anh ấy đúng.,
desk,bàn học,/desk/,noun,There is a computer on my desk.,Có một cái máy tính trên bàn học của tôi.,
chairperson,chủ tọa,/ˈtʃerpɜːrsn/,noun,The chairperson opened the meeting.,Chủ tọa khai mạc cuộc họp.,
meeting,cuộc họp,/ˈmiːtɪŋ/,noun,We have a meeting at 10.,Chúng tôi có cuộc họp lúc 10 giờ.,
project,dự án,/ˈprɑːdʒekt/,noun,The project is important.,Dự án này quan trọng.,
report,báo cáo,/rɪˈpɔːrt/,noun,I finished the report.,Tôi đã hoàn thành báo cáo.,
idea,ý tưởng,/aɪˈdiːə/,noun,That’s a good idea.,Đó là một ý tưởng hay.,
problem,vấn đề,/ˈprɑːbləm/,noun,We have a big problem.,Chúng ta có một vấn đề lớn.,
solution,giải pháp,/səˈluːʃn/,noun,We need a solution.,Chúng ta cần một giải pháp.,
success,thành công,/səkˈses/,noun,Hard work brings success.,Làm việc chăm chỉ mang lại thành công.,
failure,thất bại,/ˈfeɪljər/,noun,Failure teaches lessons.,Thất bại mang lại bài học.,
effort,nỗ lực,/ˈefərt/,noun,She put effort into her work.,Cô ấy đã nỗ lực trong công việc.,
goal,mục tiêu,/ɡoʊl/,noun,His goal is to be a doctor.,Mục tiêu của anh ấy là trở thành bác sĩ.,
future,tương lai,/ˈfjuːtʃər/,noun,We think about the future.,Chúng tôi nghĩ về tương lai.,
past,quá khứ,/pæst/,noun,Forget the past.,Hãy quên quá khứ.,
present,hiện tại,/ˈpreznt/,noun,Live in the present.,Hãy sống ở hiện tại.,
gift,món quà,/ɡɪft/,noun,I got a gift for my birthday.,Tôi nhận được một món quà sinh nhật.,
holiday,"ngày nghỉ, kỳ nghỉ",/ˈhɑːlədeɪ/,noun,They went on holiday.,Họ đã đi nghỉ.,
vacation,kỳ nghỉ,/veɪˈkeɪʃn/,noun,Summer vacation is long.,Kỳ nghỉ hè rất dài.,
travel,du lịch,/ˈtrævl/,verb/noun,They love to travel.,Họ thích đi du lịch.,
trip,chuyến đi,/trɪp/,noun,We had a nice trip.,Chúng tôi có một chuyến đi vui vẻ.,
journey,hành trình,/ˈdʒɜːrni/,noun,Life is a journey.,Cuộc sống là một hành trình.,
ticket,vé,/ˈtɪkɪt/,noun,I bought a train ticket.,Tôi đã mua vé tàu.,
bus,xe buýt,/bʌs/,noun,The bus is crowded.,Xe buýt rất đông.,
taxi,taxi,/ˈtæksi/,noun,Let’s take a taxi.,Chúng ta hãy đi taxi.,
car,ô tô,/kɑːr/,noun,He drives a car.,Anh ấy lái ô tô.,
bicycle,xe đạp,/ˈbaɪsɪkl/,noun,She rides a bicycle.,Cô ấy đi xe đạp.,
motorbike,xe máy,/ˈmoʊtərbaɪk/,noun,He goes by motorbike.,Anh ấy đi bằng xe máy.,
airport,sân bay,/ˈerpɔːrt/,noun,The airport is busy.,Sân bay rất nhộn nhịp.,
airplane,máy bay,/ˈerpleɪn/,noun,The airplane is flying.,Máy bay đang bay.,
ship,tàu thủy,/ʃɪp/,noun,The ship is on the sea.,Con tàu ở trên biển.,
boat,thuyền,/boʊt/,noun,He has a small boat.,Anh ấy có một chiếc thuyền nhỏ.,
sea,biển,/siː/,noun,The sea is blue.,Biển có màu xanh.,
ocean,đại dương,/ˈoʊʃn/,noun,The Pacific Ocean is big.,Thái Bình Dương rất lớn.,
river,sông,/ˈrɪvər/,noun,The river is long.,Con sông dài.,
lake,hồ,/leɪk/,noun,We swim in the lake.,Chúng tôi bơi ở hồ.,
mountain,núi,/ˈmaʊntn/,noun,They climb the mountain.,Họ leo núi.,
hill,đồi,/hɪl/,noun,The house is on a hill.,Ngôi nhà ở trên đồi.,
forest,rừng,/ˈfɔːrɪst/,noun,The forest is dark.,Khu rừng tối.,
tree,cây,/triː/,noun,A tree is tall.,Một cái cây cao.,
flower,hoa,/ˈflaʊər/,noun,The flower is red.,Bông hoa màu đỏ.,
grass,cỏ,/ɡræs/,noun,The grass is green.,Cỏ màu xanh lá.,
farm,nông trại,/fɑːrm/,noun,They live on a farm.,Họ sống ở nông trại.,
farmer,nông dân,/ˈfɑːrmər/,noun,The farmer works hard.,Người nông dân làm việc chăm chỉ.,
animal,động vật,/ˈænɪml/,noun,The zoo has many animals.,Sở thú có nhiều động vật.,
tiger,hổ,/ˈtaɪɡər/,noun,The tiger is strong.,Con hổ khỏe mạnh.,
snake,rắn,/sneɪk/,noun,The snake is long.,Con rắn dài.,
frog,ếch,/frɔːɡ/,noun,The frog jumps high.,Con ếch nhảy cao.,
turtle,rùa,/ˈtɜːrtl/,noun,The turtle is slow.,Con rùa chậm chạp.,
insect,côn trùng,/ˈɪnsekt/,noun,An ant is an insect.,Con kiến là một loại côn trùng.,
butterfly,bướm,/ˈbʌtərflaɪ/,noun,A butterfly is colorful.,Con bướm có nhiều màu sắc.,
bee,ong,/biː/,noun,The bee makes honey.,Con ong làm mật ong.,
ant,kiến,/ænt/,noun,The ant carries food.,Con kiến mang thức ăn.,
star,ngôi sao,/stɑːr/,noun,The stars shine at night.,Những ngôi sao tỏa sáng vào ban đêm.,
sky,bầu trời,/skaɪ/,noun,The sky is blue.,Bầu trời thì xanh.,
cloud,mây,/klaʊd/,noun,The cloud is white.,Đám mây màu trắng.,
rain,mưa,/reɪn/,noun,It rains in the afternoon.,Trời mưa vào buổi chiều.,
snow,tuyết,/snoʊ/,noun/verb,It snows in winter.,Trời có tuyết vào mùa đông.,
wind,gió,/wɪnd/,noun,The wind is strong.,Gió rất mạnh.,
storm,bão,/stɔːrm/,noun,A big storm is coming.,Một cơn bão lớn đang đến.,
weather,thời tiết,/ˈwɛðər/,noun,The weather is hot today.,Thời tiết hôm nay nóng.,
hot,nóng,/hɒt/,adj,The soup is hot.,Súp nóng.,
cold,lạnh,/koʊld/,adj,The water is cold.,Nước lạnh.,
warm,ấm áp,/wɔːrm/,adj,The room is warm.,Căn phòng ấm áp.,
cool,mát mẻ,/kuːl/,adj,The air is cool.,Không khí mát mẻ.,
season,mùa,/ˈsiːzn/,noun,Spring is my favorite season.,Mùa xuân là mùa tôi thích nhất.,
spring,mùa xuân,/sprɪŋ/,noun,Flowers bloom in spring.,Hoa nở vào mùa xuân.,
summer,mùa hè,/ˈsʌmər/,noun,Summer is hot.,Mùa hè nóng.,
autumn,mùa thu,/ˈɔːtəm/,noun,Leaves fall in autumn.,Lá rụng vào mùa thu.,
winter,mùa đông,/ˈwɪntər/,noun,Winter is cold.,Mùa đông lạnh.,
morning,buổi sáng,/ˈmɔːrnɪŋ/,noun,Good morning!,Chào buổi sáng!,
afternoon,buổi chiều,/ˌæftərˈnuːn/,noun,"Good afternoon, teacher.","Chào buổi chiều, thầy ạ.",
evening,buổi tối,/ˈiːvnɪŋ/,noun,We walk in the evening.,Chúng tôi đi dạo vào buổi tối.,
night,đêm,/naɪt/,noun,The stars shine at night.,Những ngôi sao tỏa sáng vào đêm.,
today,hôm nay,/təˈdeɪ/,adv,I am busy today.,Hôm nay tôi bận.,
tomorrow,ngày mai,/təˈmɑːroʊ/,adv,See you tomorrow.,Hẹn gặp bạn vào ngày mai.,
yesterday,hôm qua,/ˈjɛstərdeɪ/,adv,I met him yesterday.,Tôi đã gặp anh ấy hôm qua.,
time,thời gian,/taɪm/,noun,Time is precious.,Thời gian là quý báu.,
minute,phút,/ˈmɪnɪt/,noun,"Wait a minute, please.",Vui lòng đợi một phút.,
hour,giờ,/ˈaʊər/,noun,The class lasts one hour.,Buổi học kéo dài một giờ.,
day,ngày,/deɪ/,noun,Today is a sunny day.,Hôm nay là một ngày nắng.,
week,tuần,/wiːk/,noun,A week has seven days.,Một tuần có bảy ngày.,
month,tháng,/mʌnθ/,noun,May is the fifth month.,Tháng Năm là tháng thứ năm.,
year,năm,/jɪr/,noun,A year has twelve months.,Một năm có mười hai tháng.,
calendar,lịch,/ˈkælɪndər/,noun,Check the calendar.,Kiểm tra lịch.,
second,giây,/ˈsɛkənd/,noun,Wait a second.,Đợi một giây.,
breakfast,bữa sáng,/ˈbrɛkfəst/,noun,I eat bread for breakfast.,Tôi ăn bánh mì vào bữa sáng.,
lunch,bữa trưa,/lʌntʃ/,noun,We have rice for lunch.,Chúng tôi ăn cơm vào bữa trưa.,
dinner,bữa tối,/ˈdɪnər/,noun,They eat fish for dinner.,Họ ăn cá vào bữa tối.,
meal,bữa ăn,/miːl/,noun,Breakfast is the first meal.,Bữa sáng là bữa ăn đầu tiên.,
bread,bánh mì,/brɛd/,noun,She buys bread.,Cô ấy mua bánh mì.,
noodle,mì,/ˈnuːdl/,noun,I like noodle soup.,Tôi thích mì nước.,
soup,súp,/suːp/,noun,The soup is delicious.,Súp rất ngon.,
meat,thịt,/miːt/,noun,Meat is expensive.,Thịt thì đắt.,
beef,thịt bò,/biːf/,noun,Beef is my favorite.,Thịt bò là món tôi thích nhất.,
pork,thịt lợn,/pɔːrk/,noun,Pork is cheap.,Thịt lợn rẻ.,
milk,sữa,/mɪlk/,noun,Babies drink milk.,Trẻ em uống sữa.,
coffee,cà phê,/ˈkɔːfi/,noun,I drink coffee every morning.,Tôi uống cà phê mỗi sáng.,
sugar,đường,/ˈʃʊɡər/,noun,Add sugar to the tea.,Cho đường vào trà.,
pepper,hạt tiêu,/ˈpɛpər/,noun,The soup needs pepper.,Súp cần thêm tiêu.,
oil,dầu,/ɔɪl/,noun,We cook with oil.,Chúng tôi nấu bằng dầu.,
butter,bơ,/ˈbʌtər/,noun,Spread butter on bread.,Phết bơ lên bánh mì.,
cheese,phô mai,/tʃiːz/,noun,Cheese is tasty.,Phô mai ngon.,
cake,bánh ngọt,/keɪk/,noun,She bakes a cake.,Cô ấy nướng một chiếc bánh ngọt.,
candy,kẹo,/ˈkændi/,noun,The child eats candy.,Đứa trẻ ăn kẹo.,
chocolate,sô cô la,/ˈtʃɒklət/,noun,I like chocolate.,Tôi thích sô cô la.,
fruit,trái cây,/fruːt/,noun,Fruit is healthy.,Trái cây thì tốt cho sức khỏe.,
watermelon,dưa hấu,/ˈwɔːtərˌmɛlən/,noun,We eat watermelon in summer.,Chúng tôi ăn dưa hấu vào mùa hè.,
grape,nho,/ɡreɪp/,noun,Grapes are sweet.,Nho thì ngọt.,
lemon,chanh,/ˈlɛmən/,noun,Lemon juice is sour.,Nước chanh thì chua.,
strawberry,dâu tây,/ˈstrɔːˌbɛri/,noun,Strawberry is red.,Dâu tây có màu đỏ.,
coconut,dừa,/ˈkoʊkənʌt/,noun,Coconut water is fresh.,Nước dừa thì mát.,
tomato,cà chua,/təˈmeɪtoʊ/,noun,Tomatoes are red.,Cà chua có màu đỏ.,
potato,khoai tây,/pəˈteɪtoʊ/,noun,Potatoes are cheap.,Khoai tây rẻ.,
carrot,cà rốt,/ˈkærət/,noun,Rabbits eat carrots.,Thỏ ăn cà rốt.,
onion,hành,/ˈʌnjən/,noun,I cut an onion.,Tôi cắt một củ hành.,
garlic,tỏi,/ˈɡɑːrlɪk/,noun,Garlic has a strong smell.,Tỏi có mùi nồng.,
cabbage,bắp cải,/ˈkæbɪdʒ/,noun,Cabbage is green.,Bắp cải có màu xanh.,
corn,ngô,/kɔːrn/,noun,Corn is yellow.,Ngô có màu vàng.,
cucumber,dưa chuột,/ˈkjuːkʌmbər/,noun,I eat cucumber salad.,Tôi ăn salad dưa chuột.,
bean,đậu,/biːn/,noun,Beans are healthy.,Đậu rất tốt cho sức khỏe.,
chili,ớt,/ˈtʃɪli/,noun,Chili is spicy.,Ớt cay.,
kitchen,nhà bếp,/ˈkɪtʃɪn/,noun,The kitchen is clean.,Nhà bếp sạch sẽ.,
bathroom,phòng tắm,/ˈbæθruːm/,noun,The bathroom is small.,Phòng tắm nhỏ.,
bedroom,phòng ngủ,/ˈbɛdruːm/,noun,The bedroom has a big bed.,Phòng ngủ có một chiếc giường lớn.,
living room,phòng khách,/ˈlɪvɪŋ ruːm/,noun,We watch TV in the living room.,Chúng tôi xem TV trong phòng khách.,
dining room,phòng ăn,/ˈdaɪnɪŋ ruːm/,noun,Dinner is ready in the dining room.,Bữa tối đã sẵn sàng trong phòng ăn.,
house,ngôi nhà,/haʊs/,noun,This is my house.,Đây là ngôi nhà của tôi.,
apartment,căn hộ,/əˈpɑːrtmənt/,noun,She lives in an apartment.,Cô ấy sống trong một căn hộ.,
building,tòa nhà,/ˈbɪldɪŋ/,noun,The building is tall.,Tòa nhà rất cao.,
floor,sàn nhà,/flɔːr/,noun,The floor is clean.,Sàn nhà sạch.,
wall,bức tường,/wɔːl/,noun,The wall is white.,Bức tường màu trắng.,
roof,mái nhà,/ruːf/,noun,The roof is red.,Mái nhà màu đỏ.,
yard,sân,/jɑːrd/,noun,Children play in the yard.,Trẻ em chơi trong sân.,
garden,vườn,/ˈɡɑːrdn/,noun,The garden has many flowers.,Khu vườn có nhiều hoa.,
lamp,đèn bàn,/læmp/,noun,Turn on the lamp.,Bật đèn bàn lên.,
fan,quạt,/fæn/,noun,The fan is spinning.,Cái quạt đang quay.,
television,tivi,/ˈtɛlɪvɪʒn/,noun,I watch television every night.,Tôi xem tivi mỗi tối.,
passport,hộ chiếu,/ˈpæspɔːrt/,noun,Show me your passport.,Đưa tôi xem hộ chiếu của bạn.,
visa,thị thực,/ˈviːzə/,noun,She needs a visa to travel.,Cô ấy cần visa để đi du lịch.,
embassy,đại sứ quán,/ˈɛmbəsi/,noun,We go to the embassy.,Chúng tôi đến đại sứ quán.,
police,cảnh sát,/pəˈliːs/,noun,The police stop the car.,Cảnh sát dừng chiếc xe lại.,
soldier,lính,/ˈsoʊldʒər/,noun,The soldier is brave.,Người lính dũng cảm.,
fireman,lính cứu hỏa,/ˈfaɪərmən/,noun,The fireman saves people.,Lính cứu hỏa cứu người.,
driver,tài xế,/ˈdraɪvər/,noun,The driver drives a taxi.,Tài xế lái taxi.,
guide,hướng dẫn viên,/ɡaɪd/,noun,The guide shows us the way.,Hướng dẫn viên chỉ đường cho chúng tôi.,
tourist,khách du lịch,/ˈtʊərɪst/,noun,Many tourists visit Hanoi.,Nhiều khách du lịch đến Hà Nội.,
station,ga / trạm,/ˈsteɪʃn/,noun,We are at the train station.,Chúng tôi ở ga tàu.,
platform,sân ga,/ˈplætfɔːrm/,noun,The train is at the platform.,Tàu đang ở sân ga.,
luggage,hành lý,/ˈlʌɡɪdʒ/,noun,My luggage is heavy.,Hành lý của tôi nặng.,
suitcase,va li,/ˈsuːtkeɪs/,noun,She packs her suitcase.,Cô ấy đóng gói va li.,
camera,máy ảnh,/ˈkæmrə/,noun,I take a photo with my camera.,Tôi chụp ảnh bằng máy ảnh.,
photo,bức ảnh,/ˈfoʊtoʊ/,noun,This is a family photo.,Đây là bức ảnh gia đình.,
map,bản đồ,/mæp/,noun,The map shows the city.,Bản đồ cho thấy thành phố.,
compass,la bàn,/ˈkʌmpəs/,noun,Use the compass to find north.,Dùng la bàn để tìm hướng bắc.,
north,phía bắc,/nɔːrθ/,noun,Canada is in the north.,Canada ở phía bắc.,
south,phía nam,/saʊθ/,noun,Vietnam is in the south of Asia.,Việt Nam ở phía nam châu Á.,
east,phía đông,/iːst/,noun,The sun rises in the east.,Mặt trời mọc ở phía đông.,
west,phía tây,/wɛst/,noun,The sun sets in the west.,Mặt trời lặn ở phía tây.,
left,trái,/lɛft/,adj/adv,Turn left here.,Rẽ trái ở đây.,
right,phải,/raɪt/,adj/adv,Go right at the corner.,Đi bên phải ở góc.,
straight,thẳng,/streɪt/,adv,Go straight ahead.,Đi thẳng phía trước.,
corner,góc,/ˈkɔːrnər/,noun,The shop is on the corner.,Cửa hàng ở góc đường.,
center,trung tâm,/ˈsɛntər/,noun,The town center is busy.,Trung tâm thị trấn rất đông đúc.,
village,làng,/ˈvɪlɪdʒ/,noun,My grandmother lives in a village.,Bà tôi sống ở một ngôi làng.,
town,thị trấn,/taʊn/,noun,This is a small town.,Đây là một thị trấn nhỏ.,
country,đất nước,/ˈkʌntri/,noun,Vietnam is my country.,Việt Nam là đất nước của tôi.,
capital,thủ đô,/ˈkæpɪtl/,noun,Hanoi is the capital of Vietnam.,Hà Nội là thủ đô của Việt Nam.,
border,biên giới,/ˈbɔːrdər/,noun,They live near the border.,Họ sống gần biên giới.,
language,ngôn ngữ,/ˈlæŋɡwɪdʒ/,noun,English is an international language.,Tiếng Anh là ngôn ngữ quốc tế.,
culture,văn hóa,/ˈkʌltʃər/,noun,Vietnamese culture is rich.,Văn hóa Việt Nam rất phong phú.,
tradition,truyền thống,/trəˈdɪʃn/,noun,They follow family traditions.,Họ theo truyền thống gia đình.,
festival,lễ hội,/ˈfɛstəvl/,noun,Tet is a big festival in Vietnam.,Tết là lễ hội lớn ở Việt Nam.,
music,âm nhạc,/ˈmjuːzɪk/,noun,I like listening to music.,Tôi thích nghe nhạc.,
song,bài hát,/sɔːŋ/,noun,This is my favorite song.,Đây là bài hát tôi thích nhất.,
singer,ca sĩ,/ˈsɪŋər/,noun,She is a famous singer.,Cô ấy là một ca sĩ nổi tiếng.,
band,ban nhạc,/bænd/,noun,The band plays live music.,Ban nhạc chơi nhạc sống.,
dance,nhảy múa,/dæns/,noun/verb,They dance together.,Họ nhảy cùng nhau.,
movie,phim,/ˈmuːvi/,noun,We watch a movie.,Chúng tôi xem phim.,
